msrmnt_waferId,msrmnt_siteId,msrmnt_xcoord,msrmnt_ycoord,msrmnt_type,msrmnt_val
WAFER6789,1,0,0,THK,2308.5095
WAFER6789,2,-0.0001,48.9999,THK,2309.811
WAFER6789,3,-34.6483,34.648,THK,2324.175
WAFER6789,4,-48.9999,-0.0001,THK,2320.318
WAFER6789,5,-34.648,-34.6483,THK,2324.6215
WAFER6789,6,0.0001,-48.9999,THK,2325.3625
WAFER6789,7,34.6483,-34.648,THK,2323.0065
WAFER6789,8,48.9999,0.0001,THK,2313.9815
WAFER6789,9,34.648,34.6483,THK,2315.188
WAFER6789,10,-0.0002,97.9999,THK,2352.9885
WAFER6789,11,-37.5033,90.54,THK,2465.08964
WAFER6789,12,-69.2966,69.2961,THK,2457.98592
WAFER6789,13,-90.5403,37.5026,THK,2455.10096
WAFER6789,14,-97.9999,-0.0004,THK,2454.86384
WAFER6789,15,-90.54,-37.5033,THK,2460.20892
WAFER6789,16,-69.2961,-69.2966,THK,2453.62884
WAFER6789,17,-37.5026,-90.5403,THK,2447.36492
WAFER6789,18,0.0004,-97.9999,THK,2442.8794
WAFER6789,19,37.5033,-90.54,THK,2437.67264
WAFER6789,20,69.2967,-69.2961,THK,2437.78132
WAFER6789,21,90.5403,-37.5026,THK,2428.36568
WAFER6789,22,97.9999,0.0004,THK,2436.76368
WAFER6789,23,90.54,37.5033,THK,2429.11656
WAFER6789,24,69.296,69.2967,THK,2433.73052
WAFER6789,25,37.5026,90.5403,THK,2436.66488
WAFER6789,26,-0.0005,147,THK,2454.02404
WAFER6789,27,-38.0469,141.991,THK,2455.84196
WAFER6789,28,-73.5003,127.305,THK,2453.76716
WAFER6789,29,-103.945,103.944,THK,2455.64436
WAFER6789,30,-127.306,73.4995,THK,2236.06472
WAFER6789,31,-141.991,38.0457,THK,2362.213
WAFER6789,32,-147,-0.0005,THK,2253.4334
WAFER6789,33,-141.991,-38.0469,THK,2381.3745
WAFER6789,34,-127.305,-73.5003,THK,2244.58724
WAFER6789,35,-103.944,-103.945,THK,2376.691
WAFER6789,36,-73.4993,-127.306,THK,2384.614
WAFER6789,37,-38.0457,-141.991,THK,2391.264
WAFER6789,38,0.0005,-147,THK,2389.288
WAFER6789,39,38.0469,-141.991,THK,2346.063
WAFER6789,40,73.5005,-127.305,THK,2351.231
WAFER6789,41,103.945,-103.944,THK,2329.02
WAFER6789,42,127.306,-73.4993,THK,2324.84
WAFER6789,43,141.991,-38.0457,THK,2324.555
WAFER6789,44,147,0.0005,THK,2331.528
WAFER6789,45,141.991,38.0469,THK,2345.0465
WAFER6789,46,127.305,73.5005,THK,2350.091
WAFER6789,47,103.944,103.945,THK,2347.5355
WAFER6789,48,73.4993,127.306,THK,2352.9885
WAFER6789,49,38.0457,141.991,THK,2355.5155
